tweet-id	timestamp	url	likes	replies	retweets
1128422133858615297	2019-05-14 22:09:36	/budimandjatmiko/status/1128422133858615297	80	9	22
1126241514525298688	2019-05-08 21:44:36	/budimandjatmiko/status/1126241514525298688	93	1	22
1122033712776957953	2019-04-27 07:04:18	/budimandjatmiko/status/1122033712776957953	138	10	56
1121939482226216961	2019-04-27 00:49:51	/budimandjatmiko/status/1121939482226216961	58	7	11
1118652205043634176	2019-04-17 23:07:23	/budimandjatmiko/status/1118652205043634176	92	5	13
1109255399402692609	2019-03-23 00:47:50	/budimandjatmiko/status/1109255399402692609	42	15	17
1093121305690304512	2019-02-06 12:16:43	/budimandjatmiko/status/1093121305690304512	3	18	0
1092682434917720064	2019-02-05 07:12:48	/budimandjatmiko/status/1092682434917720064	260	25	242
1092673133130072064	2019-02-05 06:35:50	/budimandjatmiko/status/1092673133130072064	394	29	362
1092617259342651393	2019-02-05 02:53:49	/budimandjatmiko/status/1092617259342651393	30	12	9
1090794134288314368	2019-01-31 02:09:22	/budimandjatmiko/status/1090794134288314368	154	17	32
1090764640512962561	2019-01-31 00:12:10	/budimandjatmiko/status/1090764640512962561	30	1	9
1090640600246870016	2019-01-30 15:59:16	/budimandjatmiko/status/1090640600246870016	35	5	11
1081400063300034565	2019-01-05 04:00:41	/budimandjatmiko/status/1081400063300034565	215	31	168
1081399546775855104	2019-01-05 03:58:38	/budimandjatmiko/status/1081399546775855104	83	19	77
1081399213651447808	2019-01-05 03:57:18	/budimandjatmiko/status/1081399213651447808	62	9	85
1080783592727273472	2019-01-03 11:11:03	/budimandjatmiko/status/1080783592727273472	192	47	104
1079748438198087680	2018-12-31 14:37:43	/budimandjatmiko/status/1079748438198087680	73	11	35
1074650453940420608	2018-12-17 13:00:08	/budimandjatmiko/status/1074650453940420608	253	19	166
1072316141832421378	2018-12-11 02:24:25	/budimandjatmiko/status/1072316141832421378	8	1	4
1128422133858615297	2019-05-14 22:09:36	/budimandjatmiko/status/1128422133858615297	80	9	22
1126241514525298688	2019-05-08 21:44:36	/budimandjatmiko/status/1126241514525298688	93	1	22
1122033712776957953	2019-04-27 07:04:18	/budimandjatmiko/status/1122033712776957953	138	10	56
1121939482226216961	2019-04-27 00:49:51	/budimandjatmiko/status/1121939482226216961	58	7	11
1118652205043634176	2019-04-17 23:07:23	/budimandjatmiko/status/1118652205043634176	92	5	13
1109255399402692609	2019-03-23 00:47:50	/budimandjatmiko/status/1109255399402692609	42	15	17
1093121305690304512	2019-02-06 12:16:43	/budimandjatmiko/status/1093121305690304512	3	18	0
1092682434917720064	2019-02-05 07:12:48	/budimandjatmiko/status/1092682434917720064	260	25	242
1092673133130072064	2019-02-05 06:35:50	/budimandjatmiko/status/1092673133130072064	394	29	362
1092617259342651393	2019-02-05 02:53:49	/budimandjatmiko/status/1092617259342651393	30	12	9
1090794134288314368	2019-01-31 02:09:22	/budimandjatmiko/status/1090794134288314368	154	17	32
1090764640512962561	2019-01-31 00:12:10	/budimandjatmiko/status/1090764640512962561	30	1	9
1090640600246870016	2019-01-30 15:59:16	/budimandjatmiko/status/1090640600246870016	35	5	11
1081400063300034565	2019-01-05 04:00:41	/budimandjatmiko/status/1081400063300034565	215	31	168
1081399546775855104	2019-01-05 03:58:38	/budimandjatmiko/status/1081399546775855104	83	19	77
1081399213651447808	2019-01-05 03:57:18	/budimandjatmiko/status/1081399213651447808	62	9	85
1080783592727273472	2019-01-03 11:11:03	/budimandjatmiko/status/1080783592727273472	192	47	104
1079748438198087680	2018-12-31 14:37:43	/budimandjatmiko/status/1079748438198087680	73	11	35
1074650453940420608	2018-12-17 13:00:08	/budimandjatmiko/status/1074650453940420608	253	19	166
1072316141832421378	2018-12-11 02:24:25	/budimandjatmiko/status/1072316141832421378	8	1	4
1070935512003670018	2018-12-07 06:58:17	/budimandjatmiko/status/1070935512003670018	89	10	47
1069442177455910913	2018-12-03 04:04:19	/budimandjatmiko/status/1069442177455910913	13	6	1
1069384209582645249	2018-12-03 00:13:58	/budimandjatmiko/status/1069384209582645249	112	14	34
1069189224367251456	2018-12-02 11:19:10	/budimandjatmiko/status/1069189224367251456	47	1	21
1067231059031416832	2018-11-27 01:38:07	/budimandjatmiko/status/1067231059031416832	673	51	586
1065216979882061824	2018-11-21 12:14:53	/budimandjatmiko/status/1065216979882061824	245	25	177
1065040100755562497	2018-11-21 00:32:02	/budimandjatmiko/status/1065040100755562497	169	8	85
1064137484890566656	2018-11-18 12:45:21	/budimandjatmiko/status/1064137484890566656	34	1	10
1064130528247394304	2018-11-18 12:17:43	/budimandjatmiko/status/1064130528247394304	102	10	58
1064078490893316096	2018-11-18 08:50:56	/budimandjatmiko/status/1064078490893316096	13	0	1
1063970467772538881	2018-11-18 01:41:41	/budimandjatmiko/status/1063970467772538881	23	4	11
1061040643059806209	2018-11-09 23:39:37	/budimandjatmiko/status/1061040643059806209	65	14	27
1058250640638365696	2018-11-02 06:53:08	/budimandjatmiko/status/1058250640638365696	313	55	75
1057294564581502977	2018-10-30 15:34:02	/budimandjatmiko/status/1057294564581502977	105	5	45
1057199650074058753	2018-10-30 09:16:53	/budimandjatmiko/status/1057199650074058753	181	17	114
1053848566987317249	2018-10-21 03:20:52	/budimandjatmiko/status/1053848566987317249	378	35	185
1053296342896787461	2018-10-19 14:46:32	/budimandjatmiko/status/1053296342896787461	164	21	37
1052835536010788864	2018-10-18 08:15:27	/budimandjatmiko/status/1052835536010788864	76	2	39
1048054377926164480	2018-10-05 03:36:50	/budimandjatmiko/status/1048054377926164480	107	18	76
